Symbol,Exchange,Name,Months,Quandl Code,,
CONF,EUREX,CONF,HMUZ,EUREX/CONF,,
F2CR,EUREX,CER Emissions Mid December,Z,EUREX/F2CR,,
F2MX,EUREX,MDAX,HMUZ,EUREX/F2MX,,
FBTP,EUREX,Long-Term Euro-BTP,HMUZ,EUREX/FBTP,,
FBTS,EUREX,Short-Term Euro-BTP,HMUZ,EUREX/FBTS,,
FBUT,EUREX,Butter,FGHJKMNQUVXZ,EUREX/FBUT,,
FCAG,EUREX,Dow Jones-UBS Agriculture,HMUZ,EUREX/FCAG,Dairy,
FCEN,EUREX,Dow Jones-UBS Energy Index,HMUZ,EUREX/FCEN,Natural Gas,
FCGR,EUREX,Dow Jones-UBS Grains,HMUZ,EUREX/FCGR,Grain and Oilseeds,
FCIN,EUREX,Dow Jones-UBS Industrial Metals,HMUZ,EUREX/FCIN,Base Metals,
FCLI,EUREX,Dow Jones-UBS Livestock,HMUZ,EUREX/FCLI,Livestock,
FCPE,EUREX,Dow Jones-UBS Petroleum,HMUZ,EUREX/FCPE,Grain and Oilseeds,
FCPR,EUREX,Dow Jones-UBS Precious Metals,HMUZ,EUREX/FCPR,Precious Metals,
FCSO,EUREX,Dow Jones-UBS Softs,HMUZ,EUREX/FCSO,Softs,
FCXE,EUREX,Dow Jones-UBS Ex Energy Index,HMUZ,EUREX/FCXE,Natural Gas,
FDAX,EUREX,DAX,HMUZ,EUREX/FDAX,,
FDIV,EUREX,TecDAX,HMUZ,EUREX/FDIV,,
FEAA,EUREX,EU Aviation Allowence,Z,EUREX/FEAA,,
FEDV,EUREX,EURO STOXX Select Dividend 30 Index,HMUZ,EUREX/FEDV,,
FEO1,EUREX,1-month EONIA Index (EUREX),FGHJKMNQUVXZ,EUREX/FEO1,,
FEPP,EUREX,European Processing Potato,JMX,EUREX/FEPP,,
FERU,EUREX,Emission Reduction Units,Z,EUREX/FERU,,
FESX,EUREX,EURO STOXX 50 Index,HMUZ,EUREX/FESX,,
FEU3,EUREX,3-month EURIBOR (EUREX),HMUZ,EUREX/FEU3,,
FEUA,EUREX,EU Emission Allowence (EUREX),Z,EUREX/FEUA,,
FEXD,EUREX,EURO STOXX 50 Index Dividend,z,EUREX/FEXD,,
FEXF,EUREX,EURO STOXX 50 ex Financials Index,HMUZ,EUREX/FEXF,,
FFOX,EUREX,OMXH25 ,HMUZ,EUREX/FFOX,,
FGBL,EUREX,Euro-Bund,HMUZ,EUREX/FGBL,,
FGBM,EUREX,Euro-Bobl,HMUZ,EUREX/FGBM,,
FGBS,EUREX,Euro-Schatz,HMUZ,EUREX/FGBS,,
FGBX,EUREX,Euro-Buxl,HMUZ,EUREX/FGBX,,
FHOG,EUREX,Hogs,FGHJKMNQUVXZ,EUREX/FHOG,,
FMAS,EUREX,MSCIÊAC Asia Pacific ex Japan Index Futures,HMUZ,EUREX/FMAS,,
FMCL,EUREX,MSCI Chile Index,HMUZ,EUREX/FMCL,,
FMCN,EUREX,MSCI China Free Index,HMUZ,EUREX/FMCN,,
FMCO,EUREX,MSCI Columbia Index,HMUZ,EUREX/FMCO,,
FMCZ,EUREX,MSCI Czech Republic Index,HMUZ,EUREX/FMCZ,,
FMEA,EUREX,MSCI Emerging Markets Asia Index,HMUZ,EUREX/FMEA,,
FMEE,EUREX,MSCI Emerging Markets EMEA Index,HMUZ,EUREX/FMEE,,
FMEL,EUREX,MSCI Emerging Markets Latin America Index,HMUZ,EUREX/FMEL,,
FMEM,EUREX,MSCI Emerging Markets Index,HMUZ,EUREX/FMEM,,
FMEU,EUREX,MSCI Europe Index,HMUZ,EUREX/FMEU,,
FMEY,EUREX,MSCI Egypt Index,HMUZ,EUREX/FMEY,,
FMFM,EUREX,MSCI Frontier Markets Index,HMUZ,EUREX/FMFM,,
FMHU,EUREX,MSCI Hungary Index,HMUZ,EUREX/FMHU,,
FMIN,EUREX,MSCI India Index,HMUZ,EUREX/FMIN,,
FMJP,EUREX,MSCI Japan Index,HMUZ,EUREX/FMJP,,
FMMA,EUREX,MSCI Morocco Index,HMUZ,EUREX/FMMA,,
FMMX,EUREX,MSCI Mexico Index,HMUZ,EUREX/FMMX,,
FMMY,EUREX,MSCI Malaysia Index,HMUZ,EUREX/FMMY,,
FMPE,EUREX,MSCI Peru Index,HMUZ,EUREX/FMPE,,
FMPH,EUREX,MSCI Philippines Index,HMUZ,EUREX/FMPH,,
FMPL,EUREX,MSCI Poland Index,HMUZ,EUREX/FMPL,,
FMRS,EUREX,MSCI Russia Index,HMUZ,EUREX/FMRS,,
FMRU,EUREX,MSCI Russia Price Index,HMUZ,EUREX/FMRU,,
FMTH,EUREX,MSCI Thailand Index,HMUZ,EUREX/FMTH,,
FMWO,EUREX,MSCI World Index,HMUZ,EUREX/FMWO,,
FMZA,EUREX,MSCI South Africa Index,HMUZ,EUREX/FMZA,,
FOAM,EUREX,Mid-Term Euro-OAT ,HMUZ,EUREX/FOAM,,
FOAT,EUREX,Euro-OAT,HMUZ,EUREX/FOAT,,
FPIG,EUREX,Piglets,FGHJKMNQUVXZ,EUREX/FPIG,,
FRDX,EUREX,RDX USD Index,HMUZ,EUREX/FRDX,,
FSLI,EUREX,SLI Swiss Leader Index,HMUZ,EUREX/FSLI,,
FSMI,EUREX,SMI,HMUZ,EUREX/FSMI,,
FSMM,EUREX,SMI Midcap,HMUZ,EUREX/FSMM,,
FSMP,EUREX,Skimmed Milk Powder (EUREX),FGHJKMNQUVXZ,EUREX/FSMP,,
FSTX,EUREX,STOXX Europe 50 Index,HMUZ,EUREX/FSTX,,
FTDX,EUREX,DivDAX,HMUZ,EUREX/FTDX,,
FVS,EUREX,EURO STOXX 50 Volatility (VSTOXX),HMUZ,EUREX/FVS,,
FWHY,EUREX,Whey Powder,FGHJKMNQUVXZ,EUREX/FWHY,,
